Player,Team,Punts,Yds,Avg,Lng,In20,In20%,TB,TB %,Blk,NetAvg
M Dodge,NYG,3,165,55.0,69,0,0.0,0,0.0,0,24.0
B Kern,TEN,4,192,48.0,68,0,0.0,0,0.0,0,44.0
B Fields,MIA,3,145,48.3,66,2,66.7,0,0.0,0,47.7
S Rocca,PHI,5,242,48.4,63,1,20.0,0,0.0,0,39.8
M McBriar,DAL,6,310,51.7,61,2,33.3,1,16.7,0,45.5
B Colquitt,DEN,7,364,52.0,61,0,0.0,0,0.0,0,45.3
B Graham,ARZ,5,178,35.6,60,2,40.0,1,20.0,0,31.6
J Ryan,SEA,5,237,47.4,60,2,40.0,0,0.0,0,40.0
A Lee,SF,7,353,50.4,59,1,14.3,1,14.3,0,41.3
T Morstead,NO,4,204,51.0,56,1,25.0,0,0.0,0,25.5
A Podlesh,JAX,3,115,38.3,55,2,66.7,0,0.0,0,38.3
R Malone,TB,4,160,40.0,55,1,25.0,0,0.0,0,35.5
B Moorman,BUF,2,90,45.0,53,1,50.0,0,0.0,0,45.0
R Hodges,CLE,4,168,42.0,53,2,50.0,0,0.0,0,42.3
M Koenen,ATL,3,135,45.0,52,2,66.7,0,0.0,0,41.7
S Koch,BAL,5,221,44.2,52,3,60.0,0,0.0,0,44.2
D Sepulveda,PIT,3,142,47.3,51,1,33.3,0,0.0,0,38.3
T Masthay,GB,2,90,45.0,51,1,50.0,0,0.0,0,38.5
H Smith,WSH,7,233,33.3,50,2,28.6,1,14.3,0,28.7
D Colquitt,KC,3,136,45.3,50,1,33.3,0,0.0,0,29.0
C Kluwe,MIN,2,100,50.0,50,0,0.0,0,0.0,0,45.0
M Scifres,SD,2,96,48.0,49,1,50.0,0,0.0,0,29.5
D Jones,STL,4,144,36.0,49,3,75.0,0,0.0,0,33.3
K Huber,CIN,3,125,41.7,47,2,66.7,0,0.0,0,41.7
S Lechler,OAK,4,166,41.5,46,2,50.0,1,25.0,0,34.0
Z Mesko,NE,4,153,38.3,45,2,50.0,0,0.0,0,35.3
B Maynard,CHI,7,254,36.3,44,0,0.0,0,0.0,0,33.3
J Baker,CAR,3,122,40.7,44,0,0.0,0,0.0,0,32.7
J Kasay,CAR,0,0,-,0,0,-,0,-,0,0.0
J Nedney,SF,0,0,-,0,0,-,0,-,0,0.0
R Longwell,MIN,0,0,-,0,0,-,0,-,0,0.0
O Mare,SEA,0,0,-,0,0,-,0,-,0,0.0
D Akers,PHI,0,0,-,0,0,-,0,-,0,0.0
P Dawson,CLE,0,0,-,0,0,-,0,-,0,0.0
K Brown,SD,0,0,-,0,0,-,0,-,0,0.0
S Janikowski,OAK,0,0,-,0,0,-,0,-,0,0.0
R Lindell,BUF,0,0,-,0,0,-,0,-,0,0.0
J Feely,ARZ,0,0,-,0,0,-,0,-,0,0.0
B Cundiff,BAL,0,0,-,0,0,-,0,-,0,0.0
M Bryant,ATL,0,0,-,0,0,-,0,-,0,0.0
J Reed,SF,0,0,-,0,0,-,0,-,0,0.0
J Brown,STL,0,0,-,0,0,-,0,-,0,0.0
L Tynes,NYG,0,0,-,0,0,-,0,-,0,0.0
J Scobee,JAX,0,0,-,0,0,-,0,-,0,0.0
R Gould,CHI,0,0,-,0,0,-,0,-,0,0.0
R Bironas,TEN,0,0,-,0,0,-,0,-,0,0.0
M Nugent,CIN,0,0,-,0,0,-,0,-,0,0.0
S Gostkowski,NE,0,0,-,0,0,-,0,-,0,0.0
M Prater,DEN,0,0,-,0,0,-,0,-,0,0.0
M Crosby,GB,0,0,-,0,0,-,0,-,0,0.0
