Player,Team,Rec,Yds,Tgt,Avg,TD,1st,Pct,Lng,Fum,FumL
F Davis,WSH,1,71,1,71.0,0,1,100.0,71,0,0
J Morgan,SF,1,65,4,65.0,0,1,100.0,65,0,0
D Jackson,PHI,2,98,3,49.0,1,2,100.0,88,1,0
V Tucker,KC,1,38,3,38.0,0,1,100.0,38,0,0
J Cribbs,CLE,1,37,1,37.0,0,1,100.0,37,0,0
D Bryant,DAL,3,104,5,34.7,1,3,100.0,46,0,0
M Austin,DAL,2,68,3,34.0,1,2,100.0,44,0,0
T Moeaki,KC,1,34,3,34.0,0,1,100.0,34,0,0
M Bennett,DAL,1,32,2,32.0,0,1,100.0,32,0,0
F Jones,DAL,3,85,3,28.3,1,2,66.7,71,0,0
M Sellers,WSH,1,28,1,28.0,0,1,100.0,28,0,0
A Armstrong,WSH,3,83,5,27.7,0,2,66.7,76,0,0
R Moss,TEN,1,26,4,26.0,0,1,100.0,26,0,0
L Evans,BUF,2,52,5,26.0,0,1,50.0,43,0,0
C Baker,SEA,2,51,4,25.5,0,1,50.0,44,0,0
D Clowney,CAR,1,25,2,25.0,0,1,100.0,25,0,0
B Tate,NE,2,50,4,25.0,0,1,50.0,45,0,0
S Breaston,ARZ,4,98,10,24.5,0,4,100.0,36,0,0
F Gore,SF,3,67,4,22.3,0,2,66.7,30,0,0
A Fasano,MIA,5,107,7,21.4,1,4,80.0,31,0,0
D Walker,SF,4,80,5,20.0,0,3,75.0,36,0,0
D Jones,BUF,1,20,4,20.0,0,1,100.0,20,0,0
V Davis,SF,4,79,6,19.8,0,2,50.0,38,0,0
J Maclin,PHI,4,79,6,19.8,1,2,50.0,48,0,0
Z Miller,JAX,4,79,5,19.8,1,2,50.0,52,0,0
B Hartline,MIA,5,98,7,19.6,0,3,60.0,54,0,0
T Jones,KC,1,19,1,19.0,0,1,100.0,19,0,0
J Gaffney,DEN,3,57,5,19.0,1,2,66.7,40,0,0
K Davis,CHI,1,19,1,19.0,1,1,100.0,19,0,0
J Felton,DET,1,19,2,19.0,0,1,100.0,19,0,0
M Thomas,JAX,8,149,9,18.6,1,8,100.0,50,0,0
J Knox,CHI,5,90,7,18.0,0,4,80.0,29,0,0
E Moore,CLE,1,18,3,18.0,0,1,100.0,18,0,0
J Casey,HOU,1,18,2,18.0,0,1,100.0,18,0,0
J Gilmore,TB,3,52,3,17.3,0,2,66.7,29,0,0
M Wallace,PIT,8,136,11,17.0,2,8,100.0,33,0,0
D Thomas,DEN,3,51,5,17.0,0,3,100.0,22,0,0
M Williams,TB,4,68,7,17.0,0,3,75.0,28,0,0
K Moreno,DEN,3,50,3,16.7,1,3,100.0,23,0,0
R Williams,DAL,2,33,2,16.5,0,1,50.0,27,0,0
M Lynch,SEA,2,33,2,16.5,0,2,100.0,22,0,0
D Butler,SEA,4,66,7,16.5,1,1,25.0,63,0,0
H Nicks,NYG,5,82,8,16.4,0,5,100.0,23,0,0
A Johnson,HOU,9,146,11,16.2,1,5,55.6,60,0,0
K Boss,NYG,5,81,7,16.2,1,2,40.0,35,0,0
T Owens,CIN,4,64,8,16.0,0,4,100.0,23,0,0
J Charles,KC,5,80,9,16.0,1,4,80.0,24,0,0
P Harvin,MIN,4,64,6,16.0,1,1,25.0,53,0,0
M Moore,PIT,5,79,5,15.8,0,3,60.0,29,0,0
S Smith,CAR,3,47,6,15.7,0,1,33.3,34,0,0
