Player,Team,Pts,FGM,FGA,Pct,Lng,Blk,XPM,XPA,Pct,Blk
J Hanson,DET,10,3,3,100.0,38,0,1,1,100.0,0
A Vinatieri,IND,0,2,2,100.0,48,0,2,2,100.0,0
P Dawson,CLE,0,2,2,100.0,53,0,0,0,-,0
S Janikowski,OAK,0,2,2,100.0,31,0,0,0,-,0
R Lindell,BUF,0,1,1,100.0,42,0,1,1,100.0,0
J Feely,ARZ,7,2,2,100.0,49,0,1,1,100.0,0
S Graham,HOU,6,2,2,100.0,51,0,0,0,-,0
M Bryant,ATL,0,1,1,100.0,20,0,4,4,100.0,0
N Novak,SD,0,2,2,100.0,51,0,3,3,100.0,0
S Gostkowski,NE,0,3,3,100.0,49,0,2,2,100.0,0
N Folk,NYJ,5,1,1,100.0,40,0,2,2,100.0,0
M Prater,DEN,10,2,2,100.0,41,0,4,4,100.0,0
M Crosby,GB,13,2,2,100.0,48,0,7,7,100.0,0
C Barth,TB,7,2,2,100.0,49,0,1,1,100.0,0
D Bailey,DAL,7,1,1,100.0,47,0,4,4,100.0,0
A Henery,PHI,8,2,2,100.0,38,0,2,2,100.0,0
B Walsh,MIN,0,3,3,100.0,56,0,2,2,100.0,0
K Forbath,WSH,0,2,2,100.0,45,0,3,3,100.0,0
J Tucker,BAL,15,4,4,100.0,30,0,3,3,100.0,0
J Scobee,JAX,10,3,4,75.0,42,0,1,1,100.0,0
D Akers,SF,0,2,3,66.7,54,1,1,1,100.0,0
J Brown,CIN,0,2,3,66.7,43,0,1,1,100.0,0
G Hartley,NO,0,2,3,66.7,37,0,4,4,100.0,0
R Succop,KC,7,2,3,66.7,47,0,1,1,100.0,0
N Kaeding,MIA,6,1,2,50.0,45,1,3,3,100.0,0
G Gano,CAR,5,1,2,50.0,51,0,2,2,100.0,0
S Suisham,PIT,4,1,3,33.3,40,0,1,1,100.0,0
O Mare,CHI,0,0,1,0.0,0,1,4,4,100.0,0
