Player,Team,Comp,Att,Pct,Yds,YPA,TD,Int,1st,Pct,Lng,Sck,SckY,Fum,FumL,QBR
M Stafford,DET,33,48,68.8,488,10.2,1,2,17,35.4,87,1,8,0,0,91.3
P Manning,DEN,30,44,68.2,354,8.0,4,3,23,52.3,35,2,15,1,1,94.3
D Brees,NO,26,34,76.5,332,9.8,5,0,14,41.2,69,4,23,0,0,146.1
A Dalton,CIN,19,30,63.3,325,10.8,5,1,16,53.3,53,1,2,0,0,125.7
M Ryan,ATL,34,61,55.7,301,4.9,1,4,17,27.9,25,4,36,0,0,47.2
J Campbell,CIN,22,36,61.1,293,8.1,2,0,9,25.0,47,1,10,0,0,105.4
A Rodgers,GB,24,29,82.8,285,9.8,2,0,13,44.8,76,2,3,0,0,130.6
B Roethlisberger,PIT,29,45,64.4,275,6.1,1,2,13,28.9,33,5,34,0,0,70.1
M Glennon,TB,30,51,58.8,275,5.4,1,0,13,25.5,29,3,26,0,0,80.1
E Manning,NYG,25,39,64.1,246,6.3,0,0,12,30.8,27,1,9,0,0,81.8
T Lewis,BUF,22,39,56.4,234,6.0,1,1,13,33.3,26,4,23,2,1,72.0
C Henne,JAX,29,45,64.4,228,5.1,1,0,10,22.2,29,0,0,0,0,84.3
A Smith,KC,24,36,66.7,225,6.3,2,0,12,33.3,28,6,30,0,0,102.2
C Newton,CAR,23,32,71.9,221,6.9,2,0,11,34.4,35,3,26,0,0,111.6
T Romo,DAL,14,30,46.7,206,6.9,3,0,8,26.7,60,0,0,0,0,102.9
R Tannehill,MIA,22,42,52.4,192,4.6,2,2,14,33.3,25,6,47,1,1,60.8
C Palmer,ARZ,13,18,72.2,172,9.6,2,1,9,50.0,51,3,25,0,0,116.0
C Kaepernick,SF,10,16,62.5,164,10.3,1,0,8,50.0,43,0,0,0,0,117.7
G Smith,NYJ,20,30,66.7,159,5.3,0,2,6,20.0,26,3,28,0,0,51.9
K Clemens,SD,15,31,48.4,158,5.1,0,2,7,22.6,26,3,19,1,0,36.8
M Barkley,PHI,17,26,65.4,158,6.1,0,1,9,34.6,25,3,24,3,1,65.9
C Ponder,MIN,14,21,66.7,145,6.9,0,0,7,33.3,18,3,13,0,0,86.4
R Wilson,SEA,10,18,55.6,139,7.7,2,0,4,22.2,80,7,48,0,0,117.6
R Griffin III,WSH,15,30,50.0,132,4.4,1,2,8,26.7,17,3,26,1,1,45.4
T Brady,NE,13,22,59.1,116,5.3,1,1,6,27.3,26,3,16,0,0,69.5
T Pryor,OAK,10,19,52.6,88,4.6,0,2,5,26.3,18,2,6,0,0,25.7
K Cousins,WSH,5,9,55.6,48,5.3,0,2,3,33.3,17,0,0,0,0,31.0
M Vick,NYJ,6,9,66.7,30,3.3,0,1,1,11.1,11,1,12,1,0,31.9
M Simms,NYJ,3,7,42.9,17,2.4,0,0,1,14.3,7,1,1,0,0,50.3
C McCoy,WSH,1,1,100.0,13,13.0,0,0,1,100.0,13,0,0,0,0,118.8
