Player,Team,Att,Yds,Avg,TD,1st,Pct,Lng,Fum,FumL
A Peterson,MIN,23,140,6.1,2,6,26.1,60,0,0
L Bell,PIT,16,57,3.6,2,4,25.0,11,0,0
D Sproles,PHI,4,28,7.0,1,2,50.0,18,1,1
F Gore,SF,20,153,7.7,1,4,20.0,34,1,1
R Bush,DET,18,139,7.7,1,7,38.9,37,1,0
F Jackson,BUF,16,87,5.4,1,5,31.3,16,2,0
M Lynch,SEA,17,98,5.8,1,3,17.6,43,1,1
M Forte,CHI,14,95,6.8,1,3,21.4,53,0,0
K Moreno,MIA,12,78,6.5,1,5,41.7,17,0,0
M Stafford,DET,5,8,1.6,1,1,20.0,9,1,0
A Dixon,BUF,3,6,2.0,1,1,33.3,3,0,0
L Blount,PIT,9,64,7.1,1,2,22.2,47,0,0
K Hunter,SF,11,49,4.5,1,2,18.2,29,0,0
T Richardson,IND,20,60,3.0,1,5,25.0,12,0,0
L Miller,MIA,11,62,5.6,1,3,27.3,20,0,0
C Polk,PHI,3,33,11.0,1,2,66.7,28,0,0
T Brady,NE,5,-2,-0.4,0,0,0.0,1,1,0
M Vick,NYJ,8,41,5.1,0,3,37.5,13,0,0
D Brees,NO,4,2,0.5,0,0,0.0,5,0,0
M Schaub,OAK,1,5,5.0,0,0,0.0,5,0,0
W McGahee,CLE,15,46,3.1,0,2,13.3,9,0,0
C Palmer,ARZ,4,6,1.5,0,1,25.0,10,0,0
T Romo,DAL,1,15,15.0,0,1,100.0,15,0,0
E Manning,NYG,2,12,6.0,0,1,50.0,12,1,1
R Fitzpatrick,HOU,2,-2,-1.0,0,0,0.0,-1,0,0
R Brown,SD,1,7,7.0,0,0,0.0,7,0,0
M Cassel,MIN,2,5,2.5,0,0,0.0,7,0,0
B Jacobs,NYG,1,5,5.0,0,0,0.0,5,0,0
A Smith,KC,7,37,5.3,0,2,28.6,11,0,0
J Cutler,CHI,1,9,9.0,0,0,0.0,9,0,0
M Jones-Drew,OAK,13,23,1.8,0,0,0.0,6,0,0
J Snelling,ATL,8,26,3.3,0,2,25.0,9,0,0
J Battle,TEN,11,42,3.8,0,2,18.2,20,0,0
P Thomas,NO,4,1,0.3,0,0,0.0,3,0,0
D Goldson,TB,1,22,22.0,0,1,100.0,22,0,0
L McClain,SD,2,11,5.5,0,1,50.0,6,0,0
T Choice,IND,3,11,3.7,0,0,0.0,7,0,0
F Jones,PIT,2,3,1.5,0,0,0.0,2,0,0
C Johnson,TEN,15,21,1.4,0,1,6.7,8,0,0
J Forsett,BAL,1,3,3.0,0,0,0.0,3,0,0
J Charles,KC,18,65,3.6,0,2,11.1,24,0,0
B Green-Ellis,CIN,6,13,2.2,0,1,16.7,4,0,0
R Mendenhall,ARZ,12,21,1.8,0,1,8.3,6,2,1
R Rice,BAL,5,17,3.4,0,0,0.0,7,0,0
D Brown,SD,3,65,21.7,0,2,66.7,50,0,0
C Ogbonnaya,CLE,5,27,5.4,0,2,40.0,11,0,0
B Hoyer,CLE,4,7,1.8,0,0,0.0,8,0,0
D Woodhead,SD,5,32,6.4,0,2,40.0,14,0,0
L McCoy,PHI,16,73,4.6,0,4,25.0,15,0,0
A Foster,HOU,27,102,3.8,0,5,18.5,16,0,0
